iter	Passed	Remaining
0	46	22132
1	46	11208
2	47	7511
3	47	5674
4	48	4570
5	48	3823
6	48	3299
7	49	2900
8	49	2584
9	49	2349
10	50	2154
11	50	1987
12	51	1847
13	51	1721
14	52	1617
15	52	1526
16	52	1445
17	53	1373
18	53	1309
19	54	1249
20	54	1195
21	55	1148
22	55	1104
23	56	1068
24	56	1033
25	57	998
26	57	963
27	57	936
28	58	911
29	59	888
30	59	867
31	60	847
32	60	825
33	61	808
34	62	791
35	62	775
36	63	760
37	64	747
38	64	734
39	65	721
40	66	708
41	66	696
42	67	684
43	67	672
44	68	662
45	68	649
46	68	636
47	69	626
48	70	617
49	70	608
50	71	600
51	71	592
52	72	585
53	73	580
54	74	574
55	74	564
56	75	560
57	76	556
58	77	551
59	77	546
60	78	541
61	79	535
62	79	530
63	80	525
64	81	519
65	81	515
66	82	510
67	83	505
68	83	500
69	84	495
70	85	491
71	85	487
72	86	483
73	87	479
74	87	475
75	89	474
76	90	472
77	91	471
78	92	471
79	93	469
80	94	466
81	94	461
82	95	457
83	96	454
84	96	450
85	97	446
86	97	443
87	98	437
88	98	434
89	99	430
90	100	428
91	100	424
92	100	420
93	101	417
94	101	413
95	102	410
96	102	407
97	103	403
98	103	400
99	104	396
100	104	393
101	104	389
102	105	386
103	105	382
104	106	379
105	106	377
106	106	373
107	107	370
108	107	367
109	108	364
110	108	361
111	108	358
112	109	355
113	109	352
114	110	350
115	110	347
116	111	345
117	111	342
118	111	340
119	112	338
120	112	335
121	113	333
122	113	331
123	114	329
124	114	327
125	115	325
126	115	322
127	116	320
128	116	318
129	117	316
130	117	314
131	118	312
132	118	310
133	119	308
134	119	306
135	120	304
136	120	302
137	120	299
138	121	298
139	121	296
140	121	293
141	122	292
142	122	290
143	123	288
144	123	287
145	124	284
146	124	282
147	124	281
148	125	279
149	126	278
150	126	276
151	127	275
152	127	273
153	128	272
154	128	270
155	129	269
156	129	267
157	130	265
158	130	264
159	131	262
160	131	261
161	132	260
162	132	258
163	132	256
164	133	255
165	133	253
166	134	252
167	134	251
168	135	249
169	135	248
170	136	247
171	136	245
172	137	244
173	137	243
174	138	241
175	138	240
176	139	239
177	139	238
178	140	236
179	140	235
180	141	234
181	142	233
182	142	232
183	143	231
184	143	229
185	144	228
186	144	227
187	145	226
188	145	224
189	146	224
190	146	223
191	147	221
192	147	220
193	148	219
194	149	218
195	149	217
196	150	216
197	150	215
198	151	214
199	151	212
200	152	211
201	152	210
202	153	209
203	153	209
204	154	207
205	155	207
206	156	206
207	156	205
208	156	204
209	157	203
210	158	202
211	158	201
212	159	200
213	159	198
214	159	197
215	160	196
216	160	195
217	160	193
218	161	192
219	161	191
220	162	190
221	162	189
222	163	188
223	163	187
224	164	186
225	164	186
226	165	185
227	165	184
228	166	183
229	166	182
230	167	181
231	167	180
232	168	179
233	168	178
234	169	177
235	169	176
236	170	175
237	170	174
238	171	173
239	172	172
240	172	171
241	172	170
242	173	169
243	173	168
244	174	167
245	174	166
246	175	165
247	175	165
248	176	164
249	176	163
250	176	162
251	177	161
252	177	160
253	178	159
254	178	158
255	179	157
256	179	156
257	180	155
258	180	154
259	181	153
260	181	153
261	182	152
262	182	151
263	183	150
264	183	149
265	185	149
266	185	148
267	186	148
268	186	147
269	187	146
270	187	145
271	188	144
272	188	143
273	189	142
274	189	142
275	190	141
276	190	140
277	191	139
278	191	138
279	192	137
280	192	137
281	193	136
282	193	135
283	194	134
284	194	133
285	195	133
286	195	132
287	196	131
288	196	130
289	197	129
290	197	129
291	198	128
292	198	127
293	199	126
294	199	125
295	200	125
296	200	124
297	200	123
298	201	122
299	202	121
300	202	121
301	203	120
302	203	119
303	204	118
304	204	118
305	205	117
306	205	116
307	206	115
308	206	114
309	206	114
310	207	113
311	207	112
312	208	111
313	208	110
314	209	110
315	209	109
316	210	108
317	210	107
318	211	107
319	211	106
320	211	105
321	212	105
322	213	104
323	213	103
324	214	102
325	214	102
326	214	101
327	215	100
328	215	99
329	216	98
330	216	98
331	217	97
332	217	96
333	218	96
334	218	95
335	219	94
336	219	93
337	220	93
338	220	92
339	221	91
340	222	91
341	222	90
342	223	89
343	223	89
344	224	88
345	224	87
346	225	87
347	225	86
348	226	85
349	226	84
350	227	84
351	227	83
352	228	82
353	228	82
354	229	81
355	229	80
356	230	79
357	231	79
358	231	78
359	232	78
360	232	77
361	233	76
362	233	75
363	234	75
364	234	74
365	235	73
366	235	73
367	236	72
368	236	71
369	237	71
370	237	70
371	238	69
372	238	69
373	239	68
374	239	67
375	240	67
376	240	66
377	240	65
378	241	64
379	241	64
380	243	63
381	243	63
382	244	62
383	244	61
384	245	61
385	245	60
386	246	59
387	246	59
388	247	58
389	247	57
390	247	57
391	248	56
392	248	55
393	249	55
394	249	54
395	250	53
396	250	53
397	251	52
398	251	51
399	252	51
400	252	50
401	253	49
402	253	49
403	254	48
404	254	47
405	255	47
406	255	46
407	256	45
408	256	45
409	257	44
410	257	43
411	258	43
412	258	42
413	259	41
414	260	41
415	261	40
416	262	40
417	263	39
418	264	39
419	266	38
420	267	38
421	268	37
422	269	36
423	270	36
424	271	35
425	272	35
426	273	34
427	274	33
428	275	33
429	276	32
430	277	32
431	278	31
432	279	31
433	280	30
434	281	29
435	282	29
436	283	28
437	284	27
438	286	27
439	287	26
440	288	26
441	288	25
442	290	24
443	291	24
444	292	23
445	293	23
446	295	22
447	296	21
448	298	21
449	299	20
450	301	20
451	302	19
452	303	18
453	305	18
454	306	17
455	308	16
456	309	16
457	311	15
458	312	14
459	314	14
460	316	13
461	317	13
462	319	12
463	320	11
464	320	11
465	322	10
466	323	9
467	325	9
468	326	8
469	328	7
470	329	7
471	331	6
472	333	5
473	334	4
474	336	4
475	337	3
476	338	2
477	339	2
478	341	1
479	342	0
480	344	0
